PG.ProteinGroups;PG.Genes;[1] MEP_mBM_500c_40.raw.PG.Quantity;[2] MEP_mBM_500c_41.raw.PG.Quantity;[3] MEP_mBM_500c_42.raw.PG.Quantity;[4] MEP_mBM_500c_43.raw.PG.Quantity
"O08970;O08970-2;O08970-3";Tuft1;3170,19482421875;NaN;NaN;NaN
O08992;Sdcbp;19121,328125;NaN;NaN;NaN
O08997;Atox1;6872,1435546875;9888,947265625;4220,83740234375;5204,58349609375
O09044;Snap23;12221,4111328125;7327,86865234375;7259,35205078125;6890,91259765625
O09061;Psmb1;26816,94140625;17515,365234375;16340,3583984375;30673,22265625
O09106;Hdac1;5148,94970703125;23061,478515625;19130,537109375;28944,6171875
O09111;Ndufb11;NaN;2389,11328125;3886,08544921875;3424,119140625
O09131;Gsto1;1620,8896484375;25179,513671875;16206,966796875;23323,060546875
O09159;Man2b1;NaN;6704,10302734375;5544,078125;2871,417236328125
O09165;Casq1;NaN;9218,78515625;49941,42578125;33914,72265625
O09167;Rpl21;NaN;14698,7158203125;17494,892578125;31069,892578125
O09172;Gclm;NaN;8857,2763671875;7553,49609375;11682,0234375
"O35071;P33173;Q60575;Q60575-2;Q60575-3";"Kif1c;Kif1a;Kif1b;Kif1b;Kif1b";7264,45166015625;NaN;NaN;NaN
O35103;Omd;NaN;NaN;NaN;650,7628784179688
O35114;Scarb2;3747,219970703125;NaN;599,4668579101562;392,4480285644531
O35129;Phb2;32584,1796875;45444,67578125;46749,87109375;44205,8359375
O35130;Emg1;NaN;NaN;1051,7218017578125;1691,0078125
O35206;Col15a1;NaN;NaN;NaN;3637,80859375
O35215;Ddt;NaN;4457,654296875;3016,73486328125;4415,2265625
O35218;Cpsf2;369644,78125;10670,1298828125;20569,0625;12970,7509765625
"O35226;O35226-2;O35226-3;O35226-4;O35226-5";Psmd4;9734,6904296875;8029,48583984375;8570,0166015625;10025,83203125
"O35250;O35250-2";Exoc7;2821,070068359375;NaN;NaN;NaN
"O35280;O35280-2";Chek1;NaN;NaN;NaN;1424,5687255859375
O35286;Dhx15;14983,8623046875;16446,26171875;14216,79296875;17334,33984375
O35295;Purb;NaN;3078,17919921875;2174,13623046875;2576,54296875
O35310;Hs3st1;588,8002319335938;NaN;NaN;NaN
O35326;Srsf5;6890,818359375;9471,1044921875;10976,9609375;17215,705078125
O35344;Kpna3;1277,1611328125;2311,783203125;1421,4024658203125;2106,394287109375
O35350;Capn1;23814,322265625;8018,61962890625;7961,15625;4584,595703125
O35381;Anp32a;5596,97802734375;34948,046875;21754,84765625;44467,1953125
O35405;Pld3;4897,38427734375;24137,267578125;11594,1552734375;9464,6298828125
O35435;Dhodh;NaN;NaN;1027,9205322265625;546,9932861328125
O35451;Atf6b;1169,772216796875;NaN;NaN;NaN
O35459;Ech1;NaN;3542,94970703125;3879,1142578125;4053,57861328125
O35473;C1d;NaN;NaN;500,8307800292969;767,6558837890625
O35593;Psmd14;8364,2275390625;8392,412109375;9269,4482421875;10287,125
O35598;Adam10;6038,12353515625;10345,10546875;1517,4373779296875;2,7258920669555664
O35609;Scamp3;590,4703369140625;NaN;4222,7421875;3500,123046875
O35615;Zfpm1;NaN;317,1374206542969;433,11737060546875;1126,5137939453125
O35639;Anxa3;26329,025390625;8694,0419921875;5419,79931640625;3529,3818359375
O35640;Anxa8;17665,296875;20478,51171875;3170,599609375;1193,0833740234375
O35643;Ap1b1;11663,5478515625;6040,3544921875;5487,59619140625;8509,04296875
O35654;Pold2;NaN;2765,150146484375;2414,205810546875;4383,9208984375
O35657;Neu1;2110,659912109375;323,0239562988281;99,09693145751953;NaN
O35658;C1qbp;NaN;28775,0234375;31435,052734375;40491,4921875
O35685;Nudc;NaN;17726,21875;14929,244140625;22653,384765625
O35691;Pnn;10787,6826171875;3787,972412109375;4397,6865234375;5605,916015625
O35701;Matn3;NaN;2643,357666015625;1476,6824951171875;271761,3125
"O35711;O35711-2;O35711-4;Q8C8U0;Q8C8U0-2;Q8C8U0-3";"Ppfibp2;Ppfibp2;Ppfibp2;Ppfibp1;Ppfibp1;Ppfibp1";1726,7066650390625;NaN;NaN;NaN
O35737;Hnrnph1;4587,04296875;9649,2890625;4378,65478515625;4719,732421875
O35744;Chil3;12098,099609375;356967,25;254955,109375;129945,265625
O35841;Api5;2727,899169921875;14844,3251953125;15678,8955078125;15387,30078125
O35855;Bcat2;NaN;9655,1064453125;6958,23291015625;7711,30810546875
O35857;Timm44;NaN;1996,7904052734375;1822,09228515625;2073,7890625
O35864;Cops5;NaN;NaN;924,87060546875;1480,496826171875
O35887;Calu;10137,1845703125;18029,890625;1598,8287353515625;6189,1396484375
O35930;Gp1ba;NaN;373,32159423828125;743,0831909179688;310,8943176269531
O35945;Aldh1a7;24749,7265625;44998,46484375;7424,07373046875;NaN
O35955;Psmb10;NaN;8556,537109375;5761,35302734375;6496,1796875
O54724;Cavin1;NaN;1110,830322265625;6529,33984375;6455,1298828125
O54734;Ddost;15774,12109375;11971,025390625;16288,3974609375;16455,279296875
O54782;Man2b2;1471,850341796875;2312,565185546875;816,130126953125;580,6905517578125
